class,code,name,prof,time,grade,score,number
전공핵심,BIZ2021-01,관리회계,조현권,화12:00-13:15【33301】 목13:30-14:45【33301】,3,4.32,69
전공핵심,BIZ2021-02,관리회계,조현권,화13:30-14:45【33301】 목12:00-13:15【33301】,3,4.32,65
전공핵심,BIZ2021-03,관리회계,김현태,목09:00-10:15【33301】 목10:30-11:45【33301】,3,0,95
전공핵심,BIZ2021-05,관리회계,최권일,월15:00-16:15【미지정】 수16:30-17:45【미지정】,3,3.82,100
전공핵심,BIZ2021-06,관리회계,김진호,월12:00-13:15【미지정】 수13:30-14:45【미지정】,3,4.36,93
전공핵심,BIZ2022-01,회계원리,최영수,화13:30-14:45【33302】 목12:00-13:15【33302】,3,4.37,79
전공핵심,BIZ2022-02,회계원리,최영수,화16:30-17:45【33302】 목15:00-16:15【33302】,3,4.37,74
전공핵심,BIZ2022-03,회계원리,이종은,화09:00-10:15【33302】 목10:30-11:45【33302】,3,4.33,16
전공핵심,BIZ2022-04,회계원리,최희익,월13:30-14:45【33306】【1.5h(ON)+1.5h(OFF)】,3,4.71,44
전공핵심,BIZ2022-05,회계원리,지가영,월12:00-13:15【미지정】 수13:30-14:45【미지정】,3,3.15,61
전공핵심,BIZ2022-06,회계원리,최권일,수18:00-19:15【미지정】 수19:30-20:45【미지정】,3,4.48,96
전공일반,BIZ2024-01,상법2,남궁주현,화18:00-19:15【미지정】 화19:30-20:45【미지정】,3,4.92,244
전공일반,BIZ2029-01,기업법,김지웅,월09:00-10:15【33302】 수10:30-11:45【33302】,3,5,64
전공일반,BIZ3007-01,글로벌기업의마케팅전략관리,심수옥,수09:00-10:15【33401】 수10:30-11:45【33401】【1h(ON)+3h(OFF)[4시간]】,3,4,14
전공일반,BIZ3010-01,지속경영과마케팅관리,심수옥,월09:00-10:15【33401】 월10:30-11:45【33401】,3,3.75,12
전공일반,BIZ3011-01,재무제표분석과가치평가,최영수,수09:00-10:15【33405】 수10:30-11:45【33405】,3,4.35,23
전공일반,BIZ3021-01,디지털혁신전략,박기우,수18:00-19:15【33504】 수19:30-20:45【33504】,3,0,13
전공일반,BIZ3023-01,글로벌ESG,정홍주,화10:30-11:45【33303】【1.5h(ON)+1.5h(OFF)】,3,4.5,15
전공일반,BIZ3024-01,회계정보시스템과인공지능을위한데이터분석개론,조성연,화13:30-14:45【미지정】 목12:00-13:15【미지정】,3,5,9
전공핵심/전공일반,BUS2003-01,마케팅관리,이석규,월09:00-10:15【33406】 월10:30-11:45【33406】,3,3.77,55
전공핵심/전공일반,BUS2003-02,마케팅관리,이석규,수09:00-10:15【33406】 수10:30-11:45【33406】,3,3.77,48
전공핵심/전공일반,BUS2003-03,마케팅관리,이혜진,월15:00-16:15【33503】 수16:30-17:45【33503】,3,4.62,53
전공핵심/전공일반,BUS2003-04,마케팅관리,한지상,수10:30-11:45【33303】【1.5h(ON)+1.5h(OFF)】,3,4.14,37
전공핵심/전공일반,BUS2003-05,마케팅관리,한지상,수09:00-10:15【33303】【1.5h(ON)+1.5h(OFF)】,3,4.07,15
전공핵심/전공일반,BUS2003-06,마케팅관리,한상만,금10:30-11:45【33405】【1.5h(ON)+1.5h(OFF)】,3,3.57,45
전공핵심/전공일반,BUS2003-07,마케팅관리,이준경,화09:00-10:15【33503】 화10:30-11:45【33503】,3,0,46
전공일반,BUS2004-01,마케팅전략,서준혁,월13:30-14:45【33302】 수12:00-13:15【33302】,3,3.5,46
전공일반,BUS2005-01,소비자행동,전선규,월18:00-19:15【미지정】 월19:30-20:45【미지정】,3,3.64,81
전공핵심/전공일반,BUS2006-01,재무관리,안희준,화09:00-10:15【33301】【1.5h(ON)+1.5h(OFF)】,3,4.67,73
전공핵심/전공일반,BUS2006-02,재무관리,한중호,화13:30-14:45【33303】【1.5h(ON)+1.5h(OFF)】,3,4.17,77
전공핵심/전공일반,BUS2006-03,재무관리,오지열,월16:30-17:45【33301】【1.5h(ON)+1.5h(OFF)】,3,4.24,77
전공핵심/전공일반,BUS2006-04,재무관리,오지열,월15:00-16:15【33301】【1.5h(ON)+1.5h(OFF)】,3,4.25,71
전공핵심/전공일반,BUS2006-05,재무관리,비엔원롱,금18:00-19:15【33503】 금19:30-20:45【33503】,3,4.52,35
전공일반,BUS2007-01,투자론,서정원,수13:30-14:45【33306】【1.5h(ON)+1.5h(OFF)】,3,3.82,63
전공일반,BUS2007-02,투자론,김대진,월15:00-16:15【33302】 수16:30-17:45【33302】,3,4.4,64
전공일반,BUS2007-04,투자론,송인욱,월18:00-19:15【33303】 월19:30-20:45【33303】,3,4.78,88
전공핵심,BUS2013-01,경영통계,장영봉,목10:30-11:45【90209】【1.5h(ON)+1.5h(OFF)】,3,2.9,19
전공핵심,BUS2013-02,경영통계,엄명용,화09:00-10:15【33304】 화10:30-11:45【33304】,3,4.65,85
전공핵심,BUS2013-03,경영통계,엄명용,금09:00-10:15【33304】 금10:30-11:45【33304】,3,4.66,95
전공핵심,BUS2013-04,경영통계,엄명용,금15:00-16:15【33304】 금16:30-17:45【33304】,3,4.67,82
전공핵심,BUS2013-05,경영통계,조남형,월18:00-19:15【33304】 월19:30-20:45【33304】,3,4.5,59
