class,code,name,prof,time,grade,score,number,etc,exp,category,campus
교양,GEDM001-01,고전명저북클럽,박정하,금10:00-10:50【50310】 금11:00-11:50【50310】【1h(ON)+2h(OFF)】,3,3.21,35,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-02,고전명저북클럽,고재석,금10:00-10:50【50104】 금11:00-11:50【50104】【1h(ON)+2h(OFF)】,3,3.88,27,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-03,고전명저북클럽,오종우,금10:00-10:50【31607】 금11:00-11:50【31607】【1h(ON)+2h(OFF)】,3,4.06,25,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-04,고전명저북클럽,이상철,금10:00-10:50【50105】 금11:00-11:50【50105】【1h(ON)+2h(OFF)】,3,4.44,22,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-05,고전명저북클럽,박상태,금10:00-10:50【50317】 금11:00-11:50【50317】【1h(ON)+2h(OFF)】,3,3.67,21,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-08,고전명저북클럽,이충은,금12:00-12:50【50408】 금13:00-13:50【50408】【1h(ON)+2h(OFF)】,3,3.53,23,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-09,고전명저북클럽,이은영,금10:00-10:50【33302】 금11:00-11:50【33302】【1h(ON)+2h(OFF)】,3,4.29,21,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-10,고전명저북클럽,김종규,금10:00-10:50【50306】 금11:00-11:50【50306】【1h(ON)+2h(OFF)】,3,4.45,21,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-13,고전명저북클럽,조원경,금10:00-10:50【50305】 금11:00-11:50【50305】【1h(ON)+2h(OFF)】,3,4.81,22,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-14,고전명저북클럽,김봉석,금10:00-10:50【61803】 금11:00-11:50【61803】【1h(ON)+2h(OFF)】,3,4.59,25,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-15,고전명저북클럽,김영,금10:00-10:50【50401】 금11:00-11:50【50401】【1h(ON)+2h(OFF)】,3,4.58,19,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-16,고전명저북클럽,김종석,금10:00-10:50【31506】 금11:00-11:50【31506】【1h(ON)+2h(OFF)】,3,4.48,20,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-18,고전명저북클럽,안상원,금10:00-10:50【33306】 금11:00-11:50【33306】【1h(ON)+2h(OFF)】,3,4.31,21,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-19,고전명저북클럽,임홍태,금10:00-10:50【33303】 금11:00-11:50【33303】【1h(ON)+2h(OFF)】,3,3.61,22,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-20,고전명저북클럽,심선옥,금10:00-10:50【31606】 금11:00-11:50【31606】【1h(ON)+2h(OFF)】,3,4.8,21,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-21,고전명저북클럽,박정하,금12:00-12:50【50402】 금13:00-13:50【50402】【1h(ON)+2h(OFF)】,3,3.24,34,0,"플립러닝(온라인[사전제작]+오프라인), ※ 재학생 전용반 / 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-22,고전명저북클럽,오종우,금12:00-12:50【31607】 금13:00-13:50【31607】【1h(ON)+2h(OFF)】,3,4.06,23,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-23,고전명저북클럽,김경호,금12:00-12:50【31506】 금13:00-13:50【31506】【1h(ON)+2h(OFF)】,3,3.87,24,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-24,고전명저북클럽,박상태,금12:00-12:50【50317】 금13:00-13:50【50317】【1h(ON)+2h(OFF)】,3,3.67,23,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
교양,GEDM001-26,고전명저북클럽,이아름,금12:00-12:50【31405】 금13:00-13:50【31405】【1h(ON)+2h(OFF)】,3,3.67,21,0,"플립러닝(온라인[사전제작]+오프라인), ※ 수강삭제 및 철회불가 ※",고명북,인사캠
